channel_id,sequence,send_height,ack_height,block_delay
channel-76971,12277,30398949,30398973,24
channel-750,686327,30398951,30398956,5
channel-38946,124469,30398955,30398965,10
channel-6994,1326752,30398956,30398966,10
channel-0,4041319,30398960,30398977,17
channel-782,310337,30398963,30398968,5
channel-6994,1326753,30398964,30398974,10
channel-750,686328,30398965,30398977,12
channel-208,1491480,30398969,30398978,9
channel-1429,140868,30398970,30398981,11
channel-6994,1326754,30398973,30398983,10
channel-0,4041320,30398976,30398987,11
channel-259,314527,30398978,30398985,7
channel-750,686330,30398979,30398984,5
channel-1,408867,30398983,30398997,14
channel-6994,1326755,30398987,30398997,10
channel-750,686331,30398995,30399000,5
