channel_id,sequence,send_height,ack_height,block_delay
channel-2188,43402,30202456,30202461,5
channel-4,166747,30202457,30202480,23
channel-642,126464,30202461,30202501,40
channel-750,680816,30202472,30202476,4
channel-642,126465,30202473,30202522,49
channel-750,680817,30202474,30202481,7
channel-208,1489153,30202482,30202494,12
channel-2188,43403,30202484,30202488,4
channel-91017,2699,30202487,30202496,9
channel-216,94044,30202491,30202496,5
channel-208,1489154,30202492,30202501,9
channel-75,844474,30202501,30202507,6
channel-208,1489155,30202501,30202510,9
channel-208,1489156,30202512,30202522,10
channel-320,119118,30202513,30202520,7
channel-750,680818,30202521,30202542,21
channel-208,1489157,30202529,30202547,18
channel-0,4035816,30202529,30202540,11
channel-208,1489158,30202532,30202547,15
channel-750,680819,30202537,30202542,5
channel-85077,58920,30202542,30202585,43
channel-0,4035817,30202543,30202555,12
channel-750,680820,30202551,30202571,20
channel-122,667452,30202553,30202556,3
channel-0,4035818,30202554,30202572,18
channel-6787,166567,30202557,30202562,5
channel-750,680821,30202564,30202573,9
channel-2494,31843,30202565,30202575,10
channel-0,4035819,30202568,30202575,7
channel-0,4035820,30202572,30202584,12
channel-6994,1322491,30202573,30202591,18
channel-782,310009,30202573,30202579,6
channel-75,844475,30202576,30202584,8
channel-2188,43404,30202579,30202584,5
channel-208,1489159,30202579,30202587,8
channel-0,4035821,30202584,30202603,19
channel-750,680822,30202584,30202603,19
channel-750,680823,30202586,30202595,9
channel-750,680824,30202586,30202595,9
channel-85077,58921,30202591,30202617,26
channel-0,4035822,30202591,30202603,12
channel-20082,9851,30202595,30202606,11
channel-750,680825,30202596,30202603,7
channel-750,680826,30202600,30202615,15
channel-208,1489160,30202600,30202610,10
channel-1,408013,30202605,30202615,10
channel-91017,2700,30202605,30202613,8
channel-341,3376,30202605,30202616,11
channel-750,680827,30202609,30202630,21
channel-0,4035823,30202615,30202637,22
channel-85077,58922,30202618,30202648,30
channel-4,166748,30202620,30202656,36
channel-208,1489161,30202626,30202635,9
channel-85077,58923,30202628,30202648,20
channel-2188,43405,30202631,30202635,4
channel-208,1489162,30202631,30202643,12
channel-229,54989,30202639,30202647,8
channel-750,680828,30202639,30202645,6
channel-85077,58924,30202640,30202648,8
channel-208,1489163,30202641,30202653,12
channel-4,166749,30202644,30202669,25
channel-91017,2701,30202645,30202653,8
channel-208,1489164,30202652,30202661,9
channel-85077,58925,30202654,30202677,23
channel-20082,9852,30202656,30202668,12
channel-642,126466,30202657,30202687,30
channel-750,680829,30202660,30202672,12
channel-208,1489165,30202663,30202673,10
channel-6994,1322492,30202675,30202714,39
channel-94814,3685,30202675,30202687,12
channel-208,1489166,30202675,30202686,11
channel-0,4035824,30202677,30202685,8
channel-6994,1322493,30202685,30202695,10
