channel_id,sequence,send_height,ack_height,block_delay,send_time,ack_time,fee_amount,fee_denom
channel-19774,345659,30201945,30201959.0,14.0,,,,
channel-0,4035782,30201945,30201952.0,7.0,,,,
channel-750,680709,30201945,30201950.0,5.0,,,,
channel-750,680710,30201947,30201964.0,17.0,,,,
channel-326,537280,30201947,30201960.0,13.0,,,,
channel-750,680711,30201950,30201957.0,7.0,,,,
channel-750,680712,30201951,30201960.0,9.0,,,,
channel-750,680713,30201951,30201955.0,4.0,,,,
channel-1429,140628,30201952,30201958.0,6.0,,,,
channel-88,466984,30201952,30201978.0,26.0,,,,
channel-1,408006,30201954,30201997.0,43.0,,,,
channel-251,85117,30201954,30201962.0,8.0,,,,
channel-1,408007,30201954,30201997.0,43.0,,,,
channel-750,680714,30201954,30201962.0,8.0,,,,
channel-750,680715,30201954,30201962.0,8.0,,,,
channel-326,537281,30201954,30201967.0,13.0,,,,
channel-750,680716,30201958,30201962.0,4.0,,,,
channel-0,4035783,30201958,30201976.0,18.0,,,,
channel-0,4035784,30201958,30201979.0,21.0,,,,
channel-1,408008,30201958,30201997.0,39.0,,,,
channel-874,292245,30201958,30201961.0,3.0,,,,
channel-782,310005,30201958,30201975.0,17.0,,,,
channel-750,680717,30201959,30201977.0,18.0,,,,
channel-750,680718,30201959,30201969.0,10.0,,,,
channel-750,680719,30201959,30201962.0,3.0,,,,
channel-208,1489117,30201959,30201968.0,9.0,,,,
channel-19774,345660,30201960,30201967.0,7.0,,,,
channel-750,680720,30201960,30201967.0,7.0,,,,
channel-85077,58908,30201960,30201986.0,26.0,,,,
channel-874,292246,30201961,30201967.0,6.0,,,,
channel-750,680721,30201962,30201976.0,14.0,,,,
channel-750,680722,30201962,30201976.0,14.0,,,,
channel-122,667445,30201963,30201967.0,4.0,,,,
channel-750,680723,30201965,30201977.0,12.0,,,,
channel-750,680724,30201965,30201977.0,12.0,,,,
channel-750,680725,30201966,30201980.0,14.0,,,,
channel-750,680726,30201967,30201971.0,4.0,,,,
channel-750,680727,30201968,30201972.0,4.0,,,,
channel-750,680728,30201969,30201974.0,5.0,,,,
channel-750,680729,30201971,30201976.0,5.0,,,,
channel-750,680730,30201973,30201985.0,12.0,,,,
channel-208,1489118,30201976,30201983.0,7.0,,,,
channel-5,184172,30201977,30201982.0,5.0,,,,
channel-0,4035785,30201979,30202004.0,25.0,,,,
channel-4,166741,30201979,30202018.0,39.0,,,,
channel-229,54987,30201981,30201993.0,12.0,,,,
channel-340,3128,30201985,30201996.0,11.0,,,,
channel-874,292247,30201987,30201995.0,8.0,,,,
channel-85077,58909,30201988,30202015.0,27.0,,,,
channel-750,680731,30201990,30202001.0,11.0,,,,
channel-143,128214,30201991,30202017.0,26.0,,,,
channel-750,680732,30201993,30201996.0,3.0,,,,
channel-208,1489119,30201995,30202006.0,11.0,,,,
channel-0,4035786,30201995,30202004.0,9.0,,,,
channel-208,1489120,30201996,30202006.0,10.0,,,,
channel-122,667446,30201997,30202001.0,4.0,,,,
channel-750,680733,30201998,30202006.0,8.0,,,,
channel-6994,1322483,30201999,30202009.0,10.0,,,,
channel-88,466985,30202001,30202027.0,26.0,,,,
channel-750,680734,30202001,30202023.0,22.0,,,,
channel-204,670698,30202004,30202012.0,8.0,,,,
channel-0,4035787,30202004,30202026.0,22.0,,,,
channel-1429,140629,30202004,30202015.0,11.0,,,,
channel-38946,123943,30202007,30202020.0,13.0,,,,
channel-4,166742,30202008,30202025.0,17.0,,,,
channel-750,680735,30202015,30202029.0,14.0,,,,
channel-750,680736,30202018,30202029.0,11.0,,,,
channel-874,292248,30202018,30202025.0,7.0,,,,
channel-750,680737,30202018,30202027.0,9.0,,,,
channel-750,680738,30202019,30202032.0,13.0,,,,
channel-750,680739,30202021,30202034.0,13.0,,,,
channel-750,680740,30202021,30202025.0,4.0,,,,
channel-0,4035788,30202023,30202038.0,15.0,,,,
channel-750,680741,30202023,30202034.0,11.0,,,,
channel-750,680742,30202024,30202032.0,8.0,,,,
channel-750,680743,30202024,30202054.0,30.0,,,,
channel-750,680744,30202024,30202036.0,12.0,,,,
channel-216,94037,30202028,30202032.0,4.0,,,,
channel-4,166743,30202030,30202059.0,29.0,,,,
channel-750,680745,30202032,30202044.0,12.0,,,,
channel-143,128215,30202032,30202043.0,11.0,,,,
channel-750,680746,30202032,30202037.0,5.0,,,,
channel-216,94038,30202035,30202039.0,4.0,,,,
channel-750,680747,30202035,30202040.0,5.0,,,,
channel-750,680748,30202037,30202050.0,13.0,,,,
channel-91017,2693,30202037,30202045.0,8.0,,,,
channel-204,670699,30202038,30202044.0,6.0,,,,
channel-5,184173,30202042,30202049.0,7.0,,,,
channel-85077,58910,30202047,30202068.0,21.0,,,,
channel-208,1489121,30202048,30202054.0,6.0,,,,
channel-750,680749,30202048,30202059.0,11.0,,,,
channel-750,680750,30202049,30202058.0,9.0,,,,
channel-0,4035789,30202050,30202069.0,19.0,,,,
channel-750,680751,30202050,30202062.0,12.0,,,,
