channel_id,sequence,send_height,ack_height,block_delay
channel-0,4034916,30164994,30165012,18
channel-750,680017,30164999,30165008,9
channel-6994,1322103,30165005,30165029,24
channel-0,4034917,30165009,30165022,13
channel-2188,43344,30165017,30165022,5
channel-5,184125,30165059,30165071,12
channel-2188,43345,30165069,30165073,4
channel-1,407901,30165072,30165083,11
channel-208,1488833,30165098,30165107,9
channel-1,407902,30165099,30165122,23
channel-2188,43346,30165121,30165127,6
channel-208,1488834,30165122,30165137,15
channel-750,680018,30165140,30165153,13
channel-208,1488835,30165156,30165169,13
channel-750,680019,30165162,30165176,14
channel-1,407903,30165169,30165187,18
channel-2188,43347,30165170,30165175,5
channel-0,4034918,30165175,30165185,10
channel-4,166710,30165180,30165201,21
channel-0,4034919,30165185,30165195,10
channel-326,537086,30165185,30165207,22
channel-750,680020,30165198,30165213,15
channel-208,1488836,30165222,30165233,11
channel-1429,140604,30165223,30165233,10
channel-412,64354,30165225,30165237,12
channel-89298,18502,30165227,30165233,6
channel-750,680021,30165228,30165240,12
channel-1,407904,30165228,30165268,40
channel-75,844296,30165229,30165236,7
channel-320,119072,30165232,30165252,20
channel-750,680022,30165262,30165275,13
channel-0,4034920,30165267,30165275,8
channel-326,537087,30165277,30165285,8
channel-199,132316,30165289,30165298,9
channel-113,301229,30165291,30165303,12
channel-199,132317,30165302,30165311,9
channel-326,537088,30165307,30165320,13
channel-326,537089,30165307,30165320,13
channel-326,537090,30165307,30165320,13
channel-326,537091,30165307,30165320,13
channel-326,537092,30165307,30165320,13
channel-874,292150,30165308,30165314,6
channel-4,166711,30165310,30165350,40
channel-208,1488837,30165315,30165325,10
channel-2188,43348,30165325,30165331,6
channel-750,680023,30165326,30165341,15
channel-750,680024,30165333,30165345,12
channel-208,1488838,30165343,30165354,11
channel-1,407905,30165345,30165372,27
channel-199,132318,30165345,30165354,9
channel-750,680025,30165346,30165360,14
channel-1,407906,30165348,30165372,24
channel-75,844297,30165349,30165357,8
channel-1,407907,30165349,30165372,23
channel-0,4034921,30165351,30165361,10
channel-0,4034922,30165352,30165365,13
channel-122,667305,30165368,30165371,3
channel-0,4034923,30165372,30165387,15
channel-750,680026,30165403,30165407,4
channel-750,680027,30165408,30165413,5
channel-75,844298,30165421,30165429,8
channel-72,516338,30165436,30165477,41
channel-208,1488839,30165441,30165452,11
channel-208,1488840,30165461,30165471,10
channel-85077,58220,30165477,30165523,46
channel-6994,1322104,30165478,30165488,10
channel-208,1488841,30165481,30165490,9
channel-750,680028,30165494,30165510,16
channel-0,4034924,30165496,30165507,11
channel-75,844299,30165515,30165524,9
channel-89298,18503,30165527,30165535,8
