timestamp,n_txs,total,total_bytes
2025-03-24 21:14:14,5,5,2241
2025-03-24 21:14:18,8,8,2544
2025-03-24 21:14:23,3,3,29074
2025-03-24 21:14:28,6,6,30344
2025-03-24 21:14:33,4,4,1863
2025-03-24 21:14:37,4,4,17953
2025-03-24 21:14:41,0,0,0
2025-03-24 21:14:46,1,1,26946
2025-03-24 21:14:50,0,0,0
2025-03-24 21:14:52,1,1,257
2025-03-24 21:14:56,2,2,5308
2025-03-24 21:15:00,3,3,2284
2025-03-24 21:15:04,5,5,2877
2025-03-24 21:15:08,1,1,258
2025-03-24 21:15:11,1,1,258
2025-03-24 21:15:16,1,1,30256
2025-03-24 21:15:25,0,0,0
2025-03-24 21:15:23,1,1,335
2025-03-24 21:15:27,1,1,520
2025-03-24 21:15:31,3,3,1686
2025-03-24 21:15:35,2,2,1085
2025-03-24 21:15:39,1,1,992
2025-03-24 21:15:43,3,3,3078
2025-03-24 21:15:47,2,2,26936
2025-03-24 21:15:52,3,3,58735
2025-03-24 21:15:56,1,1,257
2025-03-24 21:16:00,3,3,27605
2025-03-24 21:16:04,4,4,55406
2025-03-24 21:16:09,1,1,27101
2025-03-24 21:16:13,2,2,27710
2025-03-24 21:16:18,3,3,29231
2025-03-24 21:16:21,2,2,673
2025-03-24 21:16:25,0,0,0
2025-03-24 21:16:30,2,2,29919
2025-03-24 21:16:40,3,3,28334
2025-03-24 21:16:39,2,2,838
2025-03-24 21:16:43,3,3,29007
2025-03-24 21:16:47,1,1,428
2025-03-24 21:16:51,0,0,0
2025-03-24 21:17:00,2,2,1683
2025-03-24 21:16:59,1,1,1332
2025-03-24 21:17:03,2,2,10340
2025-03-24 21:17:07,6,6,20068
2025-03-24 21:17:11,2,2,28698
2025-03-24 21:17:15,2,2,689
2025-03-24 21:17:19,2,2,689
2025-03-24 21:17:24,3,3,54359
2025-03-24 21:17:28,3,3,993
2025-03-24 21:17:33,5,5,53146
2025-03-24 21:17:37,2,2,50092
2025-03-24 21:17:41,2,2,582
2025-03-24 21:17:45,0,0,0
2025-03-24 21:17:49,1,1,331
2025-03-24 21:17:53,0,0,0
2025-03-24 21:17:57,1,1,26817
2025-03-24 21:18:02,2,2,29579
2025-03-24 21:18:06,0,0,0
2025-03-24 21:18:10,1,1,258
2025-03-24 21:18:14,2,2,595
2025-03-24 21:18:18,3,3,1094
2025-03-24 21:18:22,1,1,339
2025-03-24 21:18:25,2,2,596
2025-03-24 21:18:30,0,0,0
2025-03-24 21:18:33,1,1,356
2025-03-24 21:18:37,3,3,1348
2025-03-24 21:18:41,1,1,1444
2025-03-24 21:18:45,1,1,1444
2025-03-24 21:18:49,1,1,1585
2025-03-24 21:18:53,2,2,758
2025-03-24 21:18:57,2,2,758
2025-03-24 21:19:02,3,3,29079
2025-03-24 21:19:07,3,3,55282
2025-03-24 21:19:12,3,3,55282
2025-03-24 21:19:13,4,4,27991
2025-03-24 21:19:17,0,0,0
2025-03-24 21:19:22,1,1,27277
2025-03-24 21:19:26,1,1,337
2025-03-24 21:19:30,3,3,931
2025-03-24 21:19:35,1,1,257
2025-03-24 21:19:39,0,0,0
2025-03-24 21:19:40,1,1,1521
2025-03-24 21:19:45,3,3,44655
2025-03-24 21:19:49,0,0,0
2025-03-24 21:19:55,3,3,29640
2025-03-24 21:19:59,2,2,27648
2025-03-24 21:20:04,1,1,337
2025-03-24 21:20:08,2,2,839
2025-03-24 21:20:12,1,1,7001
2025-03-24 21:20:13,2,2,758
2025-03-24 21:20:17,4,4,1986
2025-03-24 21:20:23,0,0,0
2025-03-24 21:20:27,2,2,675
2025-03-24 21:20:32,3,3,996
2025-03-24 21:20:36,1,1,991
2025-03-24 21:20:40,0,0,0
2025-03-24 21:20:42,0,0,0
2025-03-24 21:20:46,2,2,1167
2025-03-24 21:20:50,1,1,27367
2025-03-24 21:20:54,0,0,0
2025-03-24 21:20:58,1,1,344
2025-03-24 21:21:02,1,1,337
2025-03-24 21:21:07,3,3,917
2025-03-24 21:21:11,2,2,3054
2025-03-24 21:21:12,1,1,501
2025-03-24 21:21:16,0,0,0
2025-03-24 21:21:20,0,0,0
2025-03-24 21:21:25,2,2,594
2025-03-24 21:21:29,1,1,335
2025-03-24 21:21:33,2,2,670
2025-03-24 21:21:37,2,2,657
2025-03-24 21:21:42,1,1,337
2025-03-24 21:21:43,1,1,337
2025-03-24 21:21:47,2,2,734
2025-03-24 21:21:52,1,1,337
2025-03-24 21:21:56,1,1,337
2025-03-24 21:22:00,2,2,1636
2025-03-24 21:22:04,1,1,338
2025-03-24 21:22:09,3,3,1026
2025-03-24 21:22:10,4,4,1296
2025-03-24 21:22:14,2,2,687
2025-03-24 21:22:19,4,4,1711
2025-03-24 21:22:23,0,0,0
2025-03-24 21:22:27,0,0,0
2025-03-24 21:22:31,2,2,848
2025-03-24 21:22:35,4,4,1442
2025-03-24 21:22:39,1,1,257
2025-03-24 21:22:41,2,2,17322
2025-03-24 21:22:45,1,1,400
2025-03-24 21:22:49,0,0,0
2025-03-24 21:22:54,4,4,45864
2025-03-24 21:22:58,1,1,665
2025-03-24 21:23:03,0,0,0
2025-03-24 21:23:07,2,2,26945
2025-03-24 21:23:12,4,4,54674
2025-03-24 21:23:13,0,0,0
2025-03-24 21:23:18,3,3,29812
2025-03-24 21:23:22,4,4,1528
2025-03-24 21:23:26,2,2,593
2025-03-24 21:23:31,3,3,850
2025-03-24 21:23:35,3,3,851
2025-03-24 21:23:39,0,0,0
2025-03-24 21:23:46,1,1,338
2025-03-24 21:23:45,1,1,337
2025-03-24 21:23:49,0,0,0
2025-03-24 21:23:53,1,1,337
2025-03-24 21:23:57,0,0,0
2025-03-24 21:24:01,0,0,0
2025-03-24 21:24:06,4,4,28673
2025-03-24 21:24:10,0,0,0
2025-03-24 21:24:12,1,1,8242
2025-03-24 21:24:16,2,2,27236
2025-03-24 21:24:21,4,4,32874
2025-03-24 21:24:26,0,0,0
2025-03-24 21:24:30,2,2,30933
2025-03-24 21:24:34,1,1,326
2025-03-24 21:24:38,2,2,831
2025-03-24 21:24:40,2,2,999
2025-03-24 21:24:44,1,1,393
2025-03-24 21:24:48,4,4,2579
2025-03-24 21:24:52,2,2,595
2025-03-24 21:24:56,4,4,2645
2025-03-24 21:25:01,0,0,0
2025-03-24 21:25:06,1,1,28991
2025-03-24 21:25:10,3,3,58278
2025-03-24 21:25:13,3,3,29903
2025-03-24 21:25:17,2,2,27281
2025-03-24 21:25:26,0,0,0
2025-03-24 21:25:25,2,2,593
2025-03-24 21:25:29,4,4,6310
2025-03-24 21:25:32,0,0,0
2025-03-24 21:25:37,0,0,0
2025-03-24 21:25:41,2,2,27228
2025-03-24 21:25:45,0,0,0
2025-03-24 21:25:50,2,2,29474
2025-03-24 21:25:54,4,4,1382
2025-03-24 21:25:58,2,2,675
2025-03-24 21:26:02,4,4,1247
2025-03-24 21:26:03,3,3,997
2025-03-24 21:26:07,4,4,1334
2025-03-24 21:26:16,2,2,672
2025-03-24 21:26:15,1,1,320
2025-03-24 21:26:19,3,3,28552
2025-03-24 21:26:23,1,1,335
2025-03-24 21:26:26,0,0,0
2025-03-24 21:26:31,2,2,1090
2025-03-24 21:26:34,1,1,382
2025-03-24 21:26:38,2,2,672
2025-03-24 21:26:42,4,4,1267
2025-03-24 21:26:46,2,2,693
2025-03-24 21:26:51,2,2,611
2025-03-24 21:26:55,4,4,30217
